rainfall_intensity_mmh,cumulative_24h_mm,slope_gradient_deg,dfsi_vulnerability_index,corrected_percent_flooded_area,drainage_factor,disrupted_label
3.5,27.77,37.6,0.389,13.96,0.8,1
24.34,134.79,24.1,0.52,5.42,0.5,1
3.32,22.44,27.3,0.47,3.46,0.2,0
6.22,53.18,35.4,0.112,1.29,0.2,0
10.32,72.04,10.3,0.403,0.62,0.8,0
3.84,31.69,38.0,0.622,6.01,0.5,1
30.33,182.29,42.8,0.229,1.91,0.8,1
27.9,170.65,16.9,0.213,9.23,0.8,1
2.47,37.19,33.5,0.414,10.72,0.5,0
5.85,70.3,29.4,0.188,0.22,0.5,0
3.04,18.73,18.5,0.509,3.3,0.5,0
2.85,40.6,35.7,0.481,1.84,0.5,0
0.32,22.2,34.0,0.584,1.99,0.2,0
7.99,54.99,34.7,0.289,3.64,0.5,0
5.94,46.36,39.5,0.138,5.71,0.2,0
0.45,25.28,26.3,0.364,3.03,0.8,0
2.78,28.78,35.5,0.574,5.37,0.5,0
20.31,99.76,37.3,0.734,12.76,0.8,1
2.33,20.43,22.5,0.412,2.01,0.2,0
1.33,24.49,46.0,0.64,2.23,0.5,0
5.71,16.68,27.7,0.222,4.25,1.0,0
36.07,124.71,36.5,0.275,0.15,0.5,1
2.36,44.3,37.6,0.66,0.47,1.0,1
9.48,53.73,31.6,0.206,0.62,0.5,0
12.19,87.98,20.9,0.454,3.28,1.0,1
2.31,51.88,26.0,0.291,2.98,0.5,0
11.07,52.9,24.7,0.588,1.39,0.2,0
3.9,33.78,31.9,0.126,3.25,0.5,0
8.5,41.84,25.5,0.701,12.66,0.8,1
8.53,58.54,32.5,0.141,7.53,0.8,0
6.52,32.71,26.3,0.251,1.69,0.5,0
0.8,37.1,11.0,0.178,11.48,0.5,0
15.33,107.0,28.3,0.391,1.67,0.2,1
3.29,61.81,33.8,0.832,3.24,0.2,1
1.75,43.31,38.2,0.426,4.4,0.2,0
0.35,10.16,15.1,0.421,3.57,0.5,0
7.6,69.9,25.4,0.557,7.09,0.5,1
9.62,48.65,48.5,0.484,3.17,1.0,1
0.14,39.02,25.6,0.261,1.78,0.2,0
6.1,29.74,38.3,0.256,3.0,0.8,0
2.18,15.58,31.7,0.436,10.36,0.5,0
8.81,33.16,20.6,0.261,4.71,0.8,0
1.63,17.92,34.7,0.725,1.25,0.2,0
9.98,42.97,46.7,0.237,0.08,1.0,1
4.16,31.32,42.2,0.14,3.52,0.5,0
23.46,131.54,35.9,0.158,0.61,1.0,1
1.26,51.7,31.8,0.22,2.66,0.8,0
3.55,16.92,27.2,0.316,1.07,0.8,0
1.02,44.91,28.2,0.342,8.66,0.2,0
21.98,70.97,27.9,0.225,0.53,0.2,0
17.84,127.17,43.9,0.409,15.78,0.2,1
2.54,6.93,24.0,0.41,0.45,0.8,0
9.17,76.69,28.7,0.115,3.53,0.8,0
14.45,45.44,30.0,0.162,2.78,0.8,0
6.89,53.3,29.4,0.705,4.91,0.8,1
6.41,59.38,12.0,0.318,0.97,0.8,0
2.35,32.17,25.8,0.661,2.13,1.0,0
0.83,12.61,31.5,0.552,0.02,0.8,0
19.34,77.96,37.8,0.306,4.22,0.5,1
19.61,85.77,33.0,0.4,1.46,0.5,1
8.52,57.3,28.9,0.172,12.09,1.0,1
3.52,47.71,35.2,0.464,2.33,0.8,0
3.65,35.14,35.2,0.903,4.5,0.8,1
11.0,60.96,25.1,0.469,0.73,0.8,0
19.33,96.57,19.8,0.439,6.23,0.5,1
18.54,92.64,39.1,0.124,0.06,0.8,1
12.87,83.1,32.1,0.265,0.21,0.2,0
8.73,62.46,22.8,0.086,5.7,0.5,0
0.75,5.39,25.6,0.599,1.97,0.2,0
1.5,28.33,38.0,0.341,0.21,0.5,0
19.45,147.07,34.9,0.559,1.89,1.0,1
7.93,57.39,45.2,0.394,0.67,0.5,1
0.08,25.17,30.7,0.345,2.4,0.5,0
0.91,22.09,16.9,0.548,17.33,0.8,0
9.26,75.96,36.1,0.662,0.05,1.0,1
0.04,17.35,25.3,0.297,5.73,1.0,0
1.49,19.2,27.3,0.522,1.74,0.5,0
6.76,53.89,23.5,0.281,5.83,1.0,0
10.01,42.37,26.9,0.275,2.25,0.8,0
8.97,58.66,40.0,0.52,5.28,0.2,1
2.16,43.8,33.1,0.229,3.03,1.0,0
10.59,58.67,20.0,0.232,5.19,0.8,0
2.3,12.59,33.4,0.112,2.74,0.8,0
3.35,29.11,34.5,0.247,4.22,1.0,0
11.67,71.35,42.2,0.521,2.34,0.5,1
8.91,39.24,41.1,0.506,1.02,0.2,0
16.08,115.54,17.6,0.325,5.38,0.5,1
9.11,84.07,41.4,0.436,2.63,0.5,1
7.14,36.61,16.9,0.298,1.89,0.2,0
0.84,21.32,21.9,0.698,18.0,0.5,1
3.9,26.51,20.2,0.834,0.21,1.0,0
2.62,52.55,23.0,0.632,4.91,0.5,0
2.38,26.44,39.1,0.548,2.03,0.8,0
30.7,82.89,35.8,0.397,1.54,0.5,1
4.24,12.1,35.8,0.156,8.57,0.8,0
18.92,77.83,43.9,0.344,5.68,1.0,1
8.48,41.44,29.0,0.281,0.08,0.2,0
13.46,95.25,11.7,0.553,5.06,0.2,0
5.94,24.64,34.6,0.428,0.03,0.5,0
7.31,40.01,41.5,0.333,0.18,0.5,0
5.77,16.86,47.5,0.468,1.12,1.0,1
1.85,32.72,28.3,0.605,15.02,0.5,1
10.89,60.79,39.8,0.415,1.89,0.5,1
2.8,40.0,40.7,0.21,3.2,0.8,0
0.21,4.33,21.6,0.472,5.78,1.0,0
8.81,49.22,34.4,0.561,1.15,0.5,0
1.66,29.64,22.6,0.755,10.62,0.8,1
23.98,73.6,30.3,0.313,2.35,0.8,1
26.16,140.33,41.9,0.322,7.98,0.2,1
20.94,128.6,38.7,0.574,2.29,0.2,1
3.93,32.63,33.0,0.734,9.03,0.8,1
0.13,0.0,39.3,0.214,7.48,0.8,0
22.4,105.41,21.9,0.089,1.6,0.5,0
4.75,27.46,23.4,0.447,0.35,1.0,0
28.91,180.94,23.9,0.434,0.25,0.5,1
28.17,181.4,38.3,0.63,2.39,0.5,1
16.3,73.23,42.4,0.408,0.16,0.5,1
2.96,27.1,32.8,0.245,3.7,0.2,0
4.13,49.18,46.1,0.67,6.27,0.2,1
16.19,54.04,36.9,0.546,7.67,0.8,1
3.24,50.6,32.9,0.401,11.06,0.5,1
1.58,42.65,33.9,0.32,0.33,0.5,0
6.92,56.39,40.8,0.219,7.94,0.5,1
23.39,101.28,19.1,0.534,0.4,0.2,1
10.12,53.44,22.5,0.307,17.69,0.5,1
7.17,33.6,25.7,0.279,0.44,0.5,0
0.87,37.29,42.6,0.182,20.65,1.0,1
8.11,60.74,45.2,0.444,2.01,0.8,1
39.19,229.08,28.1,0.615,5.12,0.5,1
1.28,54.58,44.0,0.277,0.73,0.5,0
6.21,24.87,32.5,0.17,0.33,1.0,0
17.84,75.97,30.9,0.18,4.24,0.2,0
11.48,105.46,40.1,0.674,3.06,0.8,1
10.15,79.23,32.5,0.606,9.07,0.8,1
10.3,67.52,30.5,0.523,4.34,0.5,1
3.79,15.9,13.8,0.387,3.85,0.5,0
2.95,25.64,13.5,0.504,4.02,0.5,0
14.09,72.2,34.3,0.291,1.95,0.5,0
14.12,60.63,18.2,0.512,4.86,0.2,0
17.15,94.89,37.1,0.15,8.54,0.5,1
20.78,120.47,34.2,0.691,4.47,0.8,1
6.09,26.68,30.6,0.253,0.46,0.5,0
5.92,39.39,36.4,0.696,2.29,0.8,1
13.61,53.68,49.6,0.331,1.96,1.0,1
8.92,59.11,25.1,0.522,2.52,0.2,0
10.29,94.26,32.7,0.348,1.31,0.5,1
13.5,48.57,40.5,0.178,3.11,0.5,0
18.76,91.67,13.9,0.407,6.2,0.8,1
3.51,31.69,23.7,0.381,1.55,0.5,0
4.0,54.81,31.9,0.551,9.63,0.5,1
0.84,24.56,32.6,0.53,1.23,0.8,0
7.34,64.22,18.9,0.565,2.64,1.0,0
0.31,21.87,29.4,0.735,4.04,0.5,0
5.33,53.75,31.9,0.374,6.51,0.8,1
6.65,48.2,29.8,0.207,4.19,0.5,0
2.87,19.3,36.1,0.621,8.1,1.0,1
7.6,62.25,38.1,0.586,6.76,0.5,1
0.26,15.78,30.6,0.637,0.87,0.5,0
0.32,24.36,29.8,0.456,1.76,0.8,0
14.7,87.06,36.3,0.358,0.11,0.5,1
3.8,24.89,32.7,0.62,1.29,0.8,0
1.16,28.7,41.6,0.618,0.06,0.8,0
6.28,58.5,31.1,0.795,4.41,1.0,1
12.49,98.24,33.1,0.474,4.7,0.2,1
2.07,24.45,20.9,0.316,5.8,0.5,0
8.29,38.24,40.3,0.103,0.58,0.5,0
0.76,16.74,29.8,0.271,1.49,1.0,0
0.45,0.0,36.6,0.398,3.76,0.2,0
6.44,61.52,29.9,0.285,7.29,0.2,0
6.61,33.51,11.0,0.535,7.19,1.0,0
8.62,33.1,29.2,0.533,1.96,0.5,0
11.01,61.5,21.7,0.604,1.52,0.8,0
31.65,197.67,29.2,0.65,2.37,0.5,1
6.17,24.69,27.2,0.061,0.66,1.0,0
3.32,35.44,23.7,0.231,0.99,0.2,0
13.48,74.55,20.7,0.521,0.07,0.2,0
2.68,52.11,36.9,0.527,5.23,0.5,1
4.91,51.54,37.7,0.321,20.1,1.0,1
0.69,39.43,25.6,0.418,0.31,0.8,0
0.22,33.85,31.4,0.691,0.62,0.8,0
27.94,119.95,30.7,0.857,0.87,1.0,1
15.37,79.87,28.1,0.683,2.99,0.2,1
10.12,63.66,26.0,0.614,1.86,0.8,1
4.47,17.57,23.1,0.353,0.31,0.2,0
1.62,16.46,41.7,0.772,0.02,0.8,0
1.45,14.51,40.2,0.573,1.57,0.8,0
2.45,44.45,29.6,0.434,2.22,0.2,0
6.77,39.9,36.7,0.159,4.45,1.0,0
10.66,45.88,31.5,0.487,14.77,0.5,1
9.17,47.77,18.9,0.491,2.03,0.2,0
2.79,28.95,39.8,0.207,2.79,0.2,0
26.33,165.02,24.2,0.289,5.02,1.0,1
11.38,80.56,36.3,0.582,2.05,0.5,1
6.87,27.89,32.1,0.154,3.46,0.8,0
8.04,50.92,35.9,0.061,1.75,0.5,0
4.62,33.45,30.9,0.609,17.66,0.2,1
2.42,7.98,36.2,0.397,0.96,0.8,0
3.74,10.98,15.5,0.367,5.25,1.0,0
12.05,39.9,16.1,0.691,0.36,0.5,0
0.12,17.55,42.7,0.384,1.2,0.2,0
1.05,26.32,37.5,0.623,4.56,0.5,0
0.4,25.06,40.0,0.393,1.39,0.2,0
0.35,26.33,30.5,0.39,1.39,1.0,0
16.44,74.1,30.6,0.267,0.88,1.0,1
10.34,80.21,32.2,0.447,0.34,0.5,0
5.46,31.12,25.0,0.328,1.67,0.2,0
0.88,30.63,37.0,0.291,0.38,0.5,0
5.75,51.62,40.0,0.553,16.16,0.5,1
5.45,40.67,43.2,0.172,1.37,0.8,0
1.62,22.43,31.9,0.18,2.87,0.5,0
4.84,42.11,29.6,0.457,1.21,0.5,0
4.32,34.45,40.1,0.646,0.99,0.2,0
8.13,63.32,37.6,0.279,4.82,0.5,0
8.57,53.68,41.4,0.207,1.71,0.8,0
0.39,0.0,35.0,0.376,0.69,0.2,0
3.99,18.2,42.1,0.65,0.85,0.5,0
8.36,72.81,19.1,0.115,7.97,0.5,0
5.95,45.8,35.6,0.315,3.17,1.0,0
16.5,92.77,19.1,0.659,4.11,0.5,1
9.14,40.92,37.5,0.157,0.35,0.8,0
1.51,25.78,34.3,0.579,3.28,0.5,0
0.62,7.28,13.8,0.23,0.78,0.5,0
8.74,40.99,33.7,0.569,0.49,0.5,0
0.23,15.17,21.6,0.552,2.52,0.2,0
7.49,65.43,21.5,0.294,3.44,1.0,0
23.95,99.38,21.8,0.647,1.71,0.5,1
7.28,49.15,31.1,0.155,4.44,0.5,0
4.18,19.89,20.3,0.264,6.68,0.5,0
8.76,58.23,20.8,0.217,3.65,0.5,0
5.21,45.72,25.4,0.342,5.8,0.2,0
6.7,15.14,10.9,0.431,7.17,0.2,0
24.12,125.01,26.0,0.284,17.44,0.8,1
4.15,34.44,34.1,0.546,3.32,0.2,0
27.62,179.91,33.7,0.212,0.45,0.8,1
20.04,78.16,46.9,0.687,2.03,0.2,1
1.85,17.95,20.5,0.778,5.2,0.8,0
0.61,36.28,41.4,0.599,7.79,0.5,1
0.9,0.0,29.0,0.225,0.89,0.2,0
0.16,19.94,28.9,0.682,3.5,0.8,0
0.84,0.0,28.0,0.172,4.98,0.5,0
9.77,63.51,20.7,0.3,16.87,0.2,0
0.63,29.45,31.0,0.314,1.83,0.8,0
3.27,9.6,38.6,0.403,0.17,0.8,0
15.84,46.43,41.8,0.338,12.36,0.8,1
0.2,56.47,46.4,0.245,0.18,0.5,0
14.32,77.0,38.6,0.338,1.02,0.2,0
2.81,60.59,34.2,0.544,3.05,0.8,1
1.07,20.79,31.4,0.411,0.35,0.2,0
10.14,59.48,41.7,0.323,10.89,0.5,1
8.43,76.63,37.2,0.354,3.21,0.5,1
17.85,113.63,22.2,0.719,1.71,0.2,1
11.29,35.13,35.7,0.376,1.69,0.5,0
13.83,69.08,30.0,0.3,0.04,0.8,0
2.82,43.45,33.6,0.353,6.32,0.8,0
1.66,31.83,42.8,0.325,2.0,0.2,0
11.8,84.16,34.9,0.387,0.04,0.8,1
13.98,63.51,44.8,0.485,6.08,0.2,1
39.58,280.0,41.4,0.454,9.4,0.8,1
4.52,42.59,20.9,0.612,3.91,0.5,0
3.95,39.77,13.3,0.249,15.23,0.2,0
12.73,99.2,28.8,0.155,2.92,1.0,1
3.54,28.65,41.4,0.546,0.34,0.8,0
22.7,104.49,24.6,0.26,12.94,0.5,1
16.62,112.09,35.9,0.318,1.34,0.2,1
4.76,48.08,31.0,0.126,4.78,0.2,0
11.81,96.75,37.4,0.314,2.66,0.8,1
11.94,67.62,22.3,0.406,0.73,1.0,0
0.93,29.95,24.9,0.665,1.88,1.0,0
19.79,90.14,25.0,0.325,1.96,0.5,1
5.98,30.82,32.5,0.496,5.35,0.5,0
14.89,109.35,26.4,0.221,1.24,0.2,0
3.28,56.91,39.4,0.127,18.68,0.5,1
19.2,100.96,27.9,0.466,6.65,0.8,1
4.19,33.44,35.1,0.129,3.69,0.8,0
0.09,20.64,45.4,0.607,2.8,1.0,1
20.04,113.05,33.8,0.683,5.15,0.2,1
0.81,11.52,25.0,0.469,11.66,0.2,0
3.27,42.95,40.1,0.526,23.27,0.5,1
25.47,181.61,13.4,0.406,7.7,0.8,1
25.57,104.79,25.4,0.376,0.12,0.5,1
7.24,47.36,28.9,0.315,12.85,0.8,1
8.49,67.11,23.5,0.613,5.02,0.8,1
5.06,49.62,33.8,0.551,3.61,0.8,1
2.95,34.05,32.7,0.786,0.75,0.2,0
3.39,62.2,29.4,0.661,0.51,0.5,0
9.49,51.92,26.5,0.161,2.33,0.5,0
11.86,72.66,30.0,0.565,4.86,0.8,1
13.33,43.65,26.4,0.649,5.21,0.5,1
13.25,82.21,24.3,0.126,3.02,0.5,0
0.81,4.87,28.0,0.302,6.23,0.5,0
5.8,63.27,33.7,0.321,3.28,0.8,0
0.5,20.11,34.8,0.276,2.14,0.5,0
6.78,53.84,26.6,0.709,1.73,0.2,0
4.95,34.73,45.4,0.581,1.3,0.2,0
18.59,117.58,25.6,0.637,6.54,0.8,1
3.67,39.72,36.4,0.181,0.94,0.5,0
1.06,11.3,18.7,0.248,8.73,0.5,0
1.31,13.53,35.2,0.798,1.4,0.5,0
12.18,86.21,30.6,0.591,2.11,0.2,1
8.18,76.72,33.0,0.275,0.61,1.0,1
0.91,51.63,23.0,0.254,0.45,0.5,0
0.75,27.81,30.0,0.293,0.58,0.8,0
10.26,87.42,38.0,0.434,5.0,0.8,1
0.64,0.0,38.0,0.621,4.42,0.5,0
14.66,132.57,24.8,0.202,4.6,1.0,1
10.41,81.22,28.0,0.541,7.21,0.8,1
0.72,23.58,11.9,0.286,0.87,0.2,0
0.75,20.33,19.1,0.44,1.14,0.8,0
36.68,202.04,20.8,0.339,12.38,0.2,1
3.99,27.37,26.5,0.537,0.43,0.5,0
3.94,68.02,37.8,0.193,1.25,1.0,0
14.24,57.01,31.7,0.289,12.4,0.5,1
25.01,136.16,38.8,0.367,3.01,1.0,1
36.28,214.52,37.7,0.372,9.99,0.8,1
11.9,40.88,33.4,0.362,6.23,0.8,1
4.01,39.04,31.5,0.213,11.35,1.0,1
0.74,39.2,44.4,0.272,5.1,1.0,1
12.76,86.94,33.0,0.522,1.15,1.0,1
6.95,28.41,31.1,0.165,5.41,0.2,0
4.69,39.86,41.5,0.433,1.89,0.5,0
20.13,96.39,18.1,0.413,0.66,0.5,0
1.0,39.84,35.0,0.59,1.08,0.2,0
5.77,29.14,20.2,0.358,1.32,0.2,0
0.1,16.55,39.7,0.859,0.41,0.8,1
5.38,48.71,38.8,0.343,1.96,0.8,0
0.49,24.03,31.6,0.577,10.84,0.8,1
1.08,17.05,35.1,0.807,0.82,0.8,0
1.06,18.03,38.2,0.721,14.51,0.8,1
8.9,36.28,31.1,0.467,2.53,0.8,0
11.65,47.26,43.1,0.559,5.4,0.8,1
7.44,49.66,30.1,0.493,0.45,0.8,0
27.84,119.03,42.5,0.445,7.53,0.5,1
3.99,34.63,33.3,0.19,3.28,0.8,0
2.86,46.86,29.8,0.676,0.53,0.5,0
17.25,76.77,11.9,0.485,2.62,1.0,0
2.15,11.01,26.5,0.489,4.32,0.2,0
28.07,122.99,41.5,0.393,2.02,1.0,1
0.1,38.82,29.9,0.277,1.49,0.2,0
29.77,166.58,29.7,0.404,1.37,0.5,1
0.38,2.79,31.3,0.34,2.9,0.8,0
18.85,92.12,26.3,0.379,2.2,1.0,1
6.38,35.07,31.3,0.506,5.14,0.8,0
42.13,213.01,28.6,0.14,11.29,0.2,1
0.65,12.63,43.3,0.243,0.75,0.8,0
6.86,25.4,32.9,0.552,2.7,0.8,0
29.61,186.96,40.2,0.468,2.56,0.2,1
6.29,65.14,35.8,0.821,1.95,0.8,1
8.44,21.9,24.0,0.448,5.23,0.2,0
10.11,68.84,41.5,0.301,2.32,0.2,0
5.15,61.61,19.0,0.716,0.38,0.5,0
8.4,68.95,30.4,0.195,2.65,0.2,0
7.46,55.06,24.9,0.431,5.33,0.2,0
19.67,116.92,32.3,0.415,12.1,0.8,1
0.4,21.49,26.7,0.237,0.46,0.5,0
2.8,21.58,36.7,0.65,3.82,0.2,0
25.53,112.92,44.7,0.537,1.66,0.2,1
18.78,55.79,36.4,0.355,0.98,0.5,0
5.17,57.46,28.1,0.62,3.46,0.2,0
8.23,51.0,33.7,0.267,1.91,0.2,0
2.76,34.26,42.3,0.031,0.29,0.2,0
1.77,26.72,25.8,0.552,8.59,0.8,0
5.3,53.2,20.5,0.531,2.16,1.0,0
3.71,36.26,21.0,0.264,12.6,0.5,0
7.45,41.69,31.4,0.317,0.96,0.5,0
0.69,10.85,37.0,0.287,0.22,0.5,0
31.15,101.5,35.0,0.125,0.12,0.5,1
36.41,173.5,30.5,0.304,3.63,0.5,1
10.18,40.41,36.9,0.141,6.9,0.2,0
6.53,23.44,34.5,0.168,3.88,0.2,0
3.15,14.23,34.3,0.581,6.6,0.8,0
14.29,117.27,23.7,0.645,2.77,0.5,1
9.81,60.99,27.0,0.493,0.46,0.2,0
1.51,21.03,27.8,0.333,6.22,0.2,0
20.56,148.46,39.3,0.287,1.71,0.5,1
14.7,79.7,38.3,0.712,4.48,0.8,1
25.43,133.67,25.3,0.249,0.46,0.8,1
11.0,58.1,17.1,0.119,1.26,0.5,0
8.08,77.06,38.0,0.641,2.03,1.0,1
4.6,33.94,29.5,0.34,13.11,0.8,1
22.94,60.22,24.3,0.244,3.86,0.5,0
17.09,69.08,20.4,0.288,4.49,0.8,0
0.39,27.18,13.4,0.543,5.71,0.2,0
0.23,0.0,29.9,0.442,2.58,0.5,0
4.01,71.31,27.7,0.301,0.64,0.2,0
14.14,82.36,36.0,0.535,1.39,0.8,1
37.1,123.34,47.6,0.595,1.08,1.0,1
1.39,7.93,23.8,0.174,8.63,0.5,0
7.66,54.53,25.0,0.112,4.95,0.5,0
4.08,55.44,27.7,0.217,3.06,0.5,0
29.78,169.07,30.7,0.884,1.06,0.2,1
15.69,85.86,36.1,0.226,0.64,0.5,1
15.49,47.51,28.0,0.207,3.4,0.2,0
5.38,42.54,19.8,0.679,0.52,0.5,0
4.55,37.13,36.9,0.451,2.29,0.8,0
2.71,42.21,38.9,0.27,3.31,0.5,0
0.49,9.92,25.1,0.424,1.67,0.5,0
17.0,82.91,21.2,0.412,9.95,0.5,1
14.25,87.36,32.1,0.295,0.37,0.5,0
65.0,251.86,23.9,0.273,2.09,0.5,1
